rank, level, character, nickname, weapon, best weapon mastery, best weapon mastery level, total field kill, team kill, kill, assist, hunting, killer, gameId, teamName
1,17,.,Player13,.,.,.,2,.,4,.,.,.,., Team 1
1,16,.,Player14,.,.,.,2,.,2,.,.,.,., Team 1
1,18,.,Player15,.,.,.,2,.,3,.,.,.,., Team 1
2,17,.,Player16,.,.,.,2,.,4,.,.,.,., Team 4
2,16,.,Player17,.,.,.,2,.,5,.,.,.,., Team 4
2,15,.,Player18,.,.,.,2,.,6,.,.,.,., Team 4
3,19,.,Player1,.,.,.,2,.,7,.,.,.,., Team 5
3,13,.,Player8,.,.,.,2,.,8,.,.,.,., Team 5
3,16,.,Player9,.,.,.,2,.,9,.,.,.,., Team 5
4,14,.,Player10,.,.,.,2,.,10,.,.,.,., Team 2
4,15,.,Player11,.,.,.,2,.,11,.,.,.,., Team 2
4,15,.,Player12,.,.,.,2,.,12,.,.,.,., Team 2
5,12,.,Player2,.,.,.,2,.,13,.,.,.,., Team 6
5,12,.,Player3,.,.,.,2,.,14,.,.,.,., Team 6
5,13,.,Player4,.,.,.,2,.,15,.,.,.,., Team 6
6,11,.,Player5,.,.,.,2,.,16,.,.,.,., Team 3
6,11,.,Player6,.,.,.,2,.,17,.,.,.,., Team 3
6,11,.,Player7,.,.,.,2,.,18,.,.,.,., Team 3
