rank,level,character,nickname,weapon,best weapon mastery,best weapon mastery level,team kill,kill,assist,hunting,killer, gameId, teamName
1,19,Sua,Superior,개밥바라기,Hammer,18,7,7,0,37,,23025060,
2,18,Chloe,JustAnAutumnLeaf,만천화우,DirectFire,17,1,1,0,41,RestrictArea,23025060,
3,19,Fiora,GallaZor,빛의검,TwoHandSword,18,4,4,0,49,Superior,23025060,
4,18,Mai,DrowningKittens,우라누스,Whip,15,1,1,0,43,Superior,23025060,
5,18,Alex,InternetRap,택티컬톤파,Tonfa,16,3,3,0,26,GallaZor,23025060,
6,18,Nathapon,SevenStryke,울트라비전,Camera,17,2,2,0,42,InternetRap,23025060,
7,16,Hyunwoo,VadFalcon,마이쏙,Tonfa,12,0,0,0,24,JustAnAutumnLeaf,23025060,
8,16,LiDailin,Ariden,주작자문,Glove,15,5,5,0,27,SevenStryke,23025060,
9,16,Tia,Passant,마법봉,Bat,15,3,3,0,39,Superior,23025060,
10,16,Echion,EverythingLoses,슈퍼사이드와인더-ML,VFArm,14,1,1,0,35,Passant,23025060,
11,15,LiDailin,Perrilox,천잠장갑,Glove,13,1,1,0,26,Ariden,23025060,
12,15,Aiden,WraithKira,빛의검,TwoHandSword,13,1,1,0,13,GallaZor,23025060,
13,15,Camilo,JignutJorgeston,주와이외즈,Rapier,15,3,3,0,36,Superior,23025060,
14,14,Yuki,ZeiN先輩,자웅일대검,DualSword,11,2,2,0,32,Passant,23025060,
15,5,Felix,strikxer,단창,Spear,1,0,0,0,0,JignutJorgeston,23025060,
16,10,Rio,Dona,편전,Bow,8,0,0,0,8,JignutJorgeston,23025060,
17,8,Isol,Oozma,AK-12,AssaultRifle,5,0,0,0,2,WraithKira,23025060,
18,8,Estelle,Mantastyle,스퀴테,Axe,4,0,0,0,1,Ariden,23025060,
